course_id,section_id,university,department
105075854,105063000,Troy University,ENG
105075854,105063001,Troy University,ENG
105075854,105063002,Troy University,ENG
105075854,105063003,Troy University,ENG
105075853,105063004,Troy University,ENG
105075853,105063005,Troy University,ENG
105075853,105063006,Troy University,ENG
105075852,105063007,Troy University,ENG
105075852,105063008,Troy University,ENG
105075852,105063009,Troy University,ENG
105075851,105063010,Troy University,ENG
105075850,105063011,Troy University,ENG
105075849,105063012,Troy University,ENG
105075848,105063013,Troy University,ENG
105075847,105063014,Troy University,ENG
105075846,105063015,Troy University,ENG
105075845,105063016,Troy University,ENG
105075844,105063017,Troy University,ENG
105075843,105063018,Troy University,ENG
105075842,105063019,Troy University,ENG
105075842,105063020,Troy University,ENG
105075841,105063021,Troy University,ENG
105075840,105063022,Troy University,ENG
105075839,105063023,Troy University,ENG
105075838,105063024,Troy University,ENG
107297267,107296323,Troy University,ENG
105075837,105063025,Troy University,ENG
105075836,105063026,Troy University,ENG
105075835,105063027,Troy University,ENG
106667558,106652156,Troy University,ENG
105075834,105063028,Troy University,ENG
105075834,106849428,Troy University,ENG
105075833,105063029,Troy University,ENG
106723834,106716091,Troy University,ENG
106667559,106652157,Troy University,ENG
105979635,105967823,Troy University,ENT
107262988,107261996,Troy University,ESL
107262988,107261997,Troy University,ESL
107262987,107261998,Troy University,ESL
107262987,107261999,Troy University,ESL
107262986,107262000,Troy University,ESL
107262986,107262001,Troy University,ESL
107262985,107262002,Troy University,ESL
107262985,107262003,Troy University,ESL
107262984,107262004,Troy University,ESL
107262984,107262005,Troy University,ESL
107262983,107262006,Troy University,ESL
107262983,107262007,Troy University,ESL
107262982,107262008,Troy University,ESL
107262982,107262009,Troy University,ESL
107262981,107262010,Troy University,ESL
107262981,107262011,Troy University,ESL
107262980,107262012,Troy University,ESL
107262980,107262013,Troy University,ESL
107262979,107262014,Troy University,ESL
107262979,107262015,Troy University,ESL
107262978,107262016,Troy University,ESL
107262978,107262017,Troy University,ESL
107262977,107262018,Troy University,ESL
107262977,107262019,Troy University,ESL
107262976,107262020,Troy University,ESL
107262976,107262021,Troy University,ESL
107262975,107262022,Troy University,ESL
107262975,107262023,Troy University,ESL
107262974,107262024,Troy University,ESL
107262974,107262025,Troy University,ESL
107262973,107262026,Troy University,ESL
107262973,107262027,Troy University,ESL
107262972,107262028,Troy University,ESL
107262972,107262029,Troy University,ESL
107262971,107262030,Troy University,ESL
107262971,107262031,Troy University,ESL
107262970,107262032,Troy University,ESL
107262970,107262033,Troy University,ESL
107262969,107262034,Troy University,ESL
107262969,107262035,Troy University,ESL
107262968,107262036,Troy University,ESL
107262968,107262037,Troy University,ESL
107262967,107262038,Troy University,ESL
107262967,107262039,Troy University,ESL
107262966,107262040,Troy University,ESL
107262966,107262041,Troy University,ESL
107262965,107262042,Troy University,ESL
107262965,107262043,Troy University,ESL
107844594,107832449,Troy University,ESL
107844595,107832450,Troy University,ESL
107844596,107832451,Troy University,ESL
105979636,105967824,Troy University,FIN
105979636,105967825,Troy University,FIN
105979637,105967826,Troy University,FIN
106632283,106631070,Troy University,FIN
105979638,105967827,Troy University,FIN
105979639,105967828,Troy University,FIN
105979640,105967829,Troy University,FIN
105979641,105967830,Troy University,GEM
105979642,105967831,Troy University,GEM
105979643,105967832,Troy University,GEM
105979644,105967833,Troy University,GEM
105979645,105967834,Troy University,GEM
105979646,105967835,Troy University,GEM
105979647,105967836,Troy University,GEM
105979648,105967837,Troy University,GEM
105979649,105967838,Troy University,GEM
105979650,105967839,Troy University,GEM
105979651,105967840,Troy University,GEM
105979652,105967841,Troy University,GEM
105075832,105063030,Troy University,GEO
105075832,105063031,Troy University,GEO
105075831,105063032,Troy University,GEO
105075830,105063033,Troy University,GEO
105075829,105063034,Troy University,GEO
105075828,105063035,Troy University,GEO
105075827,105063036,Troy University,GEO
105075826,105063037,Troy University,GEO
105075825,105063038,Troy University,GEO
105075824,105063039,Troy University,GEO
105075823,105063040,Troy University,GIS
105075822,105063041,Troy University,GIS
105075821,105063042,Troy University,GIS
105075820,105063043,Troy University,GIS
105075819,105063044,Troy University,GIS
105075818,105063045,Troy University,GIS
105075817,105063046,Troy University,GIS
105075816,105063047,Troy University,GRK
105075815,105063048,Troy University,HIS
105075815,105063049,Troy University,HIS
105075815,105063050,Troy University,HIS
105075814,105063051,Troy University,HIS
105075814,105063052,Troy University,HIS
105075814,105063053,Troy University,HIS
105075814,105063054,Troy University,HIS
105075813,105063055,Troy University,HIS
105075813,105061734,Troy University,HIS
105075813,105061735,Troy University,HIS
105075813,105061736,Troy University,HIS
105075813,105061737,Troy University,HIS
105075813,105061738,Troy University,HIS
105075812,105061739,Troy University,HIS
105075812,105061740,Troy University,HIS
105075812,105061741,Troy University,HIS
105075812,105061742,Troy University,HIS
105075812,105061743,Troy University,HIS
105075812,105061744,Troy University,HIS
105075812,105061745,Troy University,HIS
105075812,105061746,Troy University,HIS
105075812,105061747,Troy University,HIS
105075812,105061748,Troy University,HIS
105075812,105061749,Troy University,HIS
105075811,105061750,Troy University,HIS
105075811,105061751,Troy University,HIS
105075811,105061752,Troy University,HIS
105075811,105061753,Troy University,HIS
105075811,105967842,Troy University,HIS
105075810,105061754,Troy University,HIS
105075810,105061755,Troy University,HIS
105075810,105061756,Troy University,HIS
105075809,105061757,Troy University,HIS
105075808,105061758,Troy University,HIS
105075807,105061759,Troy University,HIS
105075806,105061760,Troy University,HIS
105075805,105061761,Troy University,HIS
105075804,105061762,Troy University,HIS
105075803,105061763,Troy University,HIS
105075654,105061764,Troy University,HIS
105075653,105061765,Troy University,HIS
105075652,105061766,Troy University,HIS
105075651,105061767,Troy University,HIS
105979653,105967843,Troy University,HIS
106667560,106652158,Troy University,HON
106723833,106716092,Troy University,HPR
106723832,106716093,Troy University,HPR
106723831,106716094,Troy University,HPR
106723830,106716095,Troy University,HPR
106723829,106716096,Troy University,HPR
106723828,106716097,Troy University,HPR
106723827,106716098,Troy University,HPR
106723826,106716099,Troy University,HPR
106723825,106716100,Troy University,HPR
105979654,105967844,Troy University,HRM
105979654,105967845,Troy University,HRM
105979655,105967846,Troy University,HRM
105075650,105061768,Troy University,HS
105075649,105061769,Troy University,HS
105075649,105061770,Troy University,HS
105075648,105061771,Troy University,HS
105075647,105061772,Troy University,HS
105075647,105061773,Troy University,HS
105075646,105061774,Troy University,HS
105075645,105061775,Troy University,HS
105075645,105061776,Troy University,HS
105075644,105061777,Troy University,HS
105075643,105061778,Troy University,HS
105075642,105061779,Troy University,HS
105075641,105061780,Troy University,HS
105979656,105967847,Troy University,HSTM
105979656,105967848,Troy University,HSTM
105979657,105967849,Troy University,HSTM
105979658,105967850,Troy University,HSTM
105979659,105967851,Troy University,HSTM
105979660,105967852,Troy University,HSTM
105979660,105967853,Troy University,HSTM
106667561,106652159,Troy University,HSTM
106667561,107104503,Troy University,HSTM
105979661,105967854,Troy University,HSTM
105979662,105967855,Troy University,HSTM
105979663,105967856,Troy University,HSTM
105979664,105967857,Troy University,HSTM
105979665,105967858,Troy University,HSTM
105979666,105967859,Troy University,HSTM
105979667,105967860,Troy University,HSTM
105979668,105967861,Troy University,HSTM
105979669,105967862,Troy University,HSTM
